Var Par Value,Seed,KSIM,AWACE
0.0,0,0.0024372684877493442,0.060101266516664031
0.0,1,0.0035652347670273262,0.059495471878665059
0.0,2,0.0026665993583707779,0.059961295714787137
0.0,3,0.0046533352673255764,0.059911055928672269
0.0,4,0.0031751908381036299,0.059906785939652651
0.0,5,0.0029451734830161511,0.059919805683384529
0.0,6,0.0035524440947739492,0.060003769831970262
0.0,7,0.002779536361492843,0.060320553269760512
0.0,8,0.0070560929220407111,0.059540910330910128
0.0,9,0.0077914039804263613,0.059535031359746776
0.01,0,0.071866757694639793,0.039930251011694853
0.01,1,0.071132169298383133,0.039562583333759005
0.01,2,0.070348899213172653,0.039887857129005291
0.01,3,0.074254924644436712,0.040059870927466323
0.01,4,0.067278005112358777,0.039617506732444803
0.01,5,0.070095864974388564,0.039841896677789743
0.01,6,0.066805700879202803,0.040156391435713853
0.01,7,0.067009564474247676,0.039819209408118519
0.01,8,0.070571420776778152,0.039778460966121344
0.01,9,0.075480395401049727,0.039592532905739518
0.02,0,0.10155246875916228,0.021960294849136267
0.02,1,0.097876072686193152,0.021875020092281729
0.02,2,0.097235006645967417,0.021802552526234687
0.02,3,0.1054190246872215,0.022396454130702202
0.02,4,0.099302056383981263,0.022205671601868315
0.02,5,0.09592488012900173,0.022442025335613566
0.02,6,0.095388054193172409,0.022530564754457024
0.02,7,0.093807458122007553,0.022493316482821154
0.02,8,0.09852080636111997,0.021925412367640666
0.02,9,0.10388688712150797,0.022149578302822461
0.03,0,0.1044569288247979,0.014863624267015143
0.03,1,0.102067111296922,0.014836115600530579
0.03,2,0.10412071720846602,0.014988969919846969
0.03,3,0.10973750750622958,0.015294740667617648
0.03,4,0.10636292620751271,0.015184075589841415
0.03,5,0.1043239733921999,0.015202771882231389
0.03,6,0.10278616080511153,0.01504503282070545
0.03,7,0.10047632607814422,0.01513300635163751
0.03,8,0.1018296647592475,0.014546187356885489
0.03,9,0.10886488059480101,0.014908520744024477
0.04,0,0.1096314635509687,0.0093581754615952601
0.04,1,0.10658940730870183,0.0096019813562892749
0.04,2,0.10861475340922326,0.0095928120457375275
0.04,3,0.11249950418743851,0.0099696579293606733
0.04,4,0.10827788824277607,0.010169060030412031
0.04,5,0.10499420525750837,0.0097577159240026298
0.04,6,0.10742439247574914,0.0098032406654356696
0.04,7,0.10520810226985966,0.010089690039215083
0.04,8,0.10576684673724646,0.0096578435147963489
0.04,9,0.11110997786094874,0.0095189627683214574
0.05,0,0.11265242778144365,0.013475944841296229
0.05,1,0.10742866204545501,0.01353285922816292
0.05,2,0.10770656831451046,0.013223793337669151
0.05,3,0.11270834991968549,0.013549273421460914
0.05,4,0.10964388431345276,0.013593544689000165
0.05,5,0.10719456766733175,0.013924358325418495
0.05,6,0.11009165265879159,0.013261393625479156
0.05,7,0.1051842666832197,0.013169396171472669
0.05,8,0.10468053976751635,0.013956596512539617
0.05,9,0.11027414245286804,0.013847944623731198
0.06,0,0.11024386103233003,0.020216392354496314
0.06,1,0.10470814041324998,0.020169464365841605
0.06,2,0.10745414293639845,0.019864297707532837
0.06,3,0.11063585264670736,0.020347937423003507
0.06,4,0.10830104697430315,0.020278674872489116
0.06,5,0.10920291947874983,0.020347815442258728
0.06,6,0.10838032129227904,0.020121268375319881
0.06,7,0.10446729699327457,0.019714578625039121
0.06,8,0.10281842542509387,0.020532187932832215
0.06,9,0.10990188186831827,0.020310352362346157
0.07,0,0.11068009702324451,0.027592389467210161
0.07,1,0.10675978387200978,0.02705247733924826
0.07,2,0.10462373704033144,0.026763284992150246
0.07,3,0.1088515782364935,0.027099102671168752
0.07,4,0.11045859113299626,0.027440485987439252
0.07,5,0.10731917393636456,0.027010264280928276
0.07,6,0.1066257696329492,0.027139131269168608
0.07,7,0.10510858042865576,0.026713233875718664
0.07,8,0.10401455283836095,0.027533552486297991
0.07,9,0.10963169265663554,0.027144665580732096
0.08,0,0.11072420380653658,0.03410140218646554
0.08,1,0.10675714259013629,0.033971387418116603
0.08,2,0.10276984984690427,0.033385429918824691
0.08,3,0.10821079083800024,0.033810180198078084
0.08,4,0.1091039096045785,0.033683505310896728
0.08,5,0.10667236048212346,0.033872126024457529
0.08,6,0.10526541214580781,0.03376739390482731
0.08,7,0.10427292007761907,0.03370715630021727
0.08,8,0.10625066053682122,0.034074912125712592
0.08,9,0.10853372862510488,0.03388284463204045
0.09,0,0.10936320579531697,0.039916470776241775
0.09,1,0.10518458428381239,0.040048677150709672
0.09,2,0.10286684410592951,0.039493197852237837
0.09,3,0.10792425162437136,0.039636881259979447
0.09,4,0.10791291704438861,0.039710829710889461
0.09,5,0.10464907307742209,0.039865106508456045
0.09,6,0.10548628544480837,0.039811774292992527
0.09,7,0.10252856163571096,0.039435454077939018
0.09,8,0.10466816068088884,0.040391953839856339
0.09,9,0.11016550241299873,0.039508697181520447
0.1,0,0.10846903307344395,0.044917475206303209
0.1,1,0.10390535811480389,0.044988398406357495
0.1,2,0.10284385485020028,0.0445009266210405
0.1,3,0.10478515531502768,0.044715826491920158
0.1,4,0.10965488926370692,0.044555603001934375
0.1,5,0.10399366782363743,0.044607640644028536
0.1,6,0.10554623520406339,0.044631749913337015
0.1,7,0.1022083536830978,0.04462485133772439
0.1,8,0.10381162464659394,0.045258639883479737
0.1,9,0.1092114354368698,0.04489753335593967
0.11,0,0.10717424211013157,0.049250432763335593
0.11,1,0.10530819116242431,0.049271611798190902
0.11,2,0.10404809035693763,0.048757641132652303
0.11,3,0.10416035928024246,0.048582342536034266
0.11,4,0.10897554936665993,0.048502816288841552
0.11,5,0.10483137846812526,0.048907945049952377
0.11,6,0.106289219959271,0.04884991339522185
0.11,7,0.10282966414596895,0.048949742740726325
0.11,8,0.10497586178793154,0.049360462457904548
0.11,9,0.10864595842280556,0.049462040850894735
0.12,0,0.10788595662052694,0.05266598033967989
0.12,1,0.10430802522299087,0.052568045920181397
0.12,2,0.10371975372821583,0.052569396413456808
0.12,3,0.10464427751375621,0.052141078093071509
0.12,4,0.10904775501183575,0.051804545592731586
0.12,5,0.10584060553802965,0.052526136915230358
0.12,6,0.10544919643985877,0.052488677414504727
0.12,7,0.10264574036321823,0.052511538451818822
0.12,8,0.10610474043405158,0.052612152852648128
0.12,9,0.10915093869515441,0.052909126870876025
0.13,0,0.10697936497724204,0.055508748516496564
0.13,1,0.10491048307216051,0.055479131883477452
0.13,2,0.10284891548133622,0.05556888011894167
0.13,3,0.10575194911161319,0.05515536797431507
0.13,4,0.1082999091137675,0.055087187557464799
0.13,5,0.10458147883809363,0.055366112320472061
0.13,6,0.10532366972219262,0.055254735071608482
0.13,7,0.10347228480428096,0.055360136824872078
0.13,8,0.10729844237464284,0.05539908106358863
0.13,9,0.1086258868671912,0.055798310807351495
0.14,0,0.10476375436013288,0.057925805706175788
0.14,1,0.10408876281584158,0.058082538650470542
0.14,2,0.1021464346461248,0.058040482546190174
0.14,3,0.10483485934020662,0.057591053794600659
0.14,4,0.10724566894426152,0.057921132227411534
0.14,5,0.10260175673674751,0.057716298514576797
0.14,6,0.10439707175088248,0.05758702130527777
0.14,7,0.10411550901075708,0.057666911468214448
0.14,8,0.10482844773153618,0.057823261816116141
0.14,9,0.10777460755461725,0.058342759775068954
0.15,0,0.1051091512592458,0.059789454967396544
0.15,1,0.10321213416759886,0.06002545068080245
0.15,2,0.10274021954353767,0.059664837125115083
0.15,3,0.10472986744186365,0.059602194081272014
0.15,4,0.10608550304016739,0.059829459908968818
0.15,5,0.10357770228527122,0.059863987148650426
0.15,6,0.10315155847359751,0.05988414657562173
0.15,7,0.10591339375366378,0.059786028377250319
0.15,8,0.10441811052805192,0.059716168366222497
0.15,9,0.10806730786344096,0.060426102510827834
0.16,0,0.1047229877489777,0.061470374033355049
0.16,1,0.1047028675010776,0.061783814461705285
0.16,2,0.10293492260677768,0.061359886679002239
0.16,3,0.10465221379864478,0.061598681364844379
0.16,4,0.10549776025426696,0.061462963497206057
0.16,5,0.1026197239992413,0.061397706360177141
0.16,6,0.10256968912761523,0.061899761762077753
0.16,7,0.10406465619875839,0.061697570142228632
0.16,8,0.10428012044387559,0.061531717228812191
0.16,9,0.1075640103233764,0.061829473408033152
0.17,0,0.10508729395463262,0.062934434766993078
0.17,1,0.10382361209232553,0.06324627859564215
0.17,2,0.10132692835742509,0.062787529662561917
0.17,3,0.10260812866702185,0.06299424053463934
0.17,4,0.10379666788436884,0.062920565931340391
0.17,5,0.10157182252308036,0.06300876354921689
0.17,6,0.10132109835543952,0.063077101260767668
0.17,7,0.1032454785143283,0.063283241318676312
0.17,8,0.10445319132596609,0.062972947104103463
0.17,9,0.10671551958989811,0.063227693058306569
0.18,0,0.10508110870157497,0.064297328665081324
0.18,1,0.10458170698618634,0.064021446434032084
0.18,2,0.10202605556900175,0.064401370374931835
0.18,3,0.10197369589387102,0.064547723573612367
0.18,4,0.10402547687686681,0.064161619858129695
0.18,5,0.10222639261579622,0.063970081525323519
0.18,6,0.10059325119482758,0.064371989096915772
0.18,7,0.10262178794795317,0.064281803458997241
0.18,8,0.10532474048819229,0.06397637735269375
0.18,9,0.10608546162115295,0.064414306806006363
0.19,0,0.10164847508135214,0.065430803874751586
0.19,1,0.10505978048076133,0.065263954380710046
0.19,2,0.10046574771451758,0.06556431369411797
0.19,3,0.10140202574758007,0.065544586832105969
0.19,4,0.1028815200511968,0.065301521485478048
0.19,5,0.10272110447982395,0.065246690418070602
0.19,6,0.099287398526870296,0.065382992786745989
0.19,7,0.10051762416887866,0.064926789145139413
0.19,8,0.10686412544062457,0.065109191043182538
0.19,9,0.10435329202899941,0.065839937738068233
0.2,0,0.10144463628589291,0.066409055769790615
0.2,1,0.10301003451410809,0.066340419821791244
0.2,2,0.099750558089797756,0.066563617058341046
0.2,3,0.10180864263723786,0.066420441318204931
0.2,4,0.10110351799470443,0.066427224200649448
0.2,5,0.1025973886737795,0.066358063373300427
0.2,6,0.099333697746364344,0.066492917480073577
0.2,7,0.10084855025081761,0.065968766755259325
0.2,8,0.10556133461941947,0.066285925257473371
0.2,9,0.10394441628191801,0.066564118600708336
